GestureType,ContainerMovement,MovementAxis,MovementDirection,HandPlane,SemanticDescription,utterance,utteranceLong,,Note
span,,horizontal,out,up,inclusive span,everybody,Good evening everybody.,,
span,,horizontal,out,up,temporal span,a normal time,As you've seen by now this isn't a normal convention . It's not a normal time.,,
span,,horizontal,out,down,temporal span,these next 76 days,As plainly as I can about the stakes in this election because what we do these next 76 days will echo through generations to come.,,
sweep,,hoirzontal,out,down,temporal sweep,through generations,As plainly as I can about the stakes in this election because what we do these next 76 days will echo through generations to come.,,
sweep,,forward,,forward,forward sweep,to come,As plainly as I can about the stakes in this election because what we do these next 76 days will echo through generations to come.,,
container,growing,horizontal,out,in,container,document,I'm in philadelphia where our constitution was drafted and signed. It wasn't a perfect document.,,
sweep,,horizontal,right to left,in,remove from container,failed to guarantee women,It wasn't a perfect document. It allowed for the inhumanity of slavery and failed to guarantee women and even men who didn't own property the right to participate in the political process.,,
span,,horizontal,out,in,negation span,who didn't own property,It wasn't a perfect document. It allowed for the inhumanity of slavery and failed to guarantee women and even men who didn't own property the right to participate in the political process.,,
container,,horizontal,,down,insert into container,embedded in this document,"But embedded in this document, it was a north star that would guide future generations.",,There was no container gesture at this point
span,,horizontal,out,forward,temporal span,guide future generations,"But embedded in this document, it was a north star that would guide future generations.",,
container,,vertical,up-down,in,container,a democracy,A system of representative government. a democracy to which we could better realize our highest ideals through civil war and bitter struggles.,,
sweep,,horizontal,left to right and up,forward,positive sweep,realize our highest ideals,A system of representative government. a democracy to which we could better realize our highest ideals through civil war and bitter struggles.,,
container,shrinking,horizontal,,in,container,civil war,A system of representative government. a democracy to which we could better realize our highest ideals through civil war and bitter struggles.,,
container,,horizontal,,in,container,bitter struggles,A system of representative government. a democracy to which we could better realize our highest ideals through civil war and bitter struggles.,,
container,growing,horizontal,out,in,insert into container,to include the voices,We improved this constitution to include the voices of those who'd once been left out.,,
container,growing,horizontal,out,in,container,who had once been left out,We improved this constitution to include the voices of those who'd once been left out.,,
sweep,,horizontal,left to right,in,inclusive sweep,by all of the people,The one constitutional office elected by all of the people is the presidency.,,
span,,vertical,up-down,down,inclusive span,all 300 million of us,So the minimum we should expect a president to feel a sense of responsibility For the safety and welfare of all 330 million of us.,,
sweep,,horizontal,left to right,down,negative sweep,regardless of what we look like,"A sense of responsibility For the safety and welfare of all 330 million of us regardless of what we look like, how we worship who we love , how much money we have or who we voted for.",,
container,,none,none,up,container,custodian of this democracy,But we should also expect a president to be the custodian of this democracy.,,
span,,horizontal,out,down,inclusive span,political beliefs,"We should expect that regardless of ego, ambition or political beliefs, the president will preserve, protect and defend the freedoms and ideals that so many americans marched for",,
container,,none,none,in,container,so many americans,"We should expect that regardless of ego, ambition or political beliefs, the president will preserve, protect and defend the freedoms and ideals that so many americans marched for",,
sweep,,horizontal,right to left,in,enumration sweep,marched for,"We should expect that regardless of ego, ambition or political beliefs, the president will preserve, protect and defend the freedoms and ideals that so many americans marched for",,
sweep,,horizontal,out,down,emphasising sweep,in the oval office,I went to jail for fought for and died for I have sat in the oval office with both of the men who are running for president.,,
container,,none,none,in,container,my vision,I never expected that my successor would embrace my vision or continue my policies.,,
span,,transverse,forward,up,temporal span,continue my policies,I never expected that my successor would embrace my vision or continue my policies.,,
sweep,,horizontal,left to right,forward,negative sweep,show no interest,"But he never did for close to four years now, he has shown no interest in putting in the work, no interest in finding common ground, no interest in using the awesome power of his office to help anyone",,
container,,none,none,in,container,awesome power,"But he never did for close to four years now, he has shown no interest in putting in the work, no interest in finding common ground, no interest in using the awesome power of his office to help anyone but himself and his friends.",,
sweep,,horizontal,right to left,down,enumeration sweep,anyone but himself,"But he never did for close to four years now, he has shown no interest in putting in the work, no interest in finding common ground, no interest in using the awesome power of his office to help anyone but himself and his friends.",,
sweep,,horizontal,left to right,down,enumeration sweep,and his friends,"But he never did for close to four years now, he has shown no interest in putting in the work, no interest in finding common ground, no interest in using the awesome power of his office to help anyone but himself and his friends.",,
sweep,,vertical,up,forward,enumeration sweep,millions of jobs,Millions of jobs gone.,,
sweep,,vertical,down-right,in,removing item sweep,gone,Millions of jobs gone.,,
sweep,,vertical,forward-up,up,process sweep,unleashed,Our worst impulses unleashed our proud reputation around the world badly diminished and our democratic institutions threatened like never before.,,
sweep,,horizontal,out,in,negative sweep,badly diminished,Our worst impulses unleashed our proud reputation around the world badly diminished and our democratic institutions threatened like never before.,,
span,,horizontal,in-out,down,inclusive span,Most of you,Most of you have already made up your mind.,,
sweep,,horizontal,right to left,down,negative sweep,you'll vote at all,But maybe you're still not sure which candidate you'll vote for or whether you'll vote at all.,,
sweep,,horizontal,in,in,direction sweep,the direction,Maybe you're tired of the direction we're headed but you can't see a better path yet.,,
